,PostalCode,Borough,Neighbourhood,Latitude,Longitude
68,M5V,Downtown Toronto,"CNTower,KingandSpadina,RailwayLands,HarbourfrontWest,BathurstQuay,SouthNiagara,Islandairport",43.6289467,-79.3944199
69,M5W,Downtown TorontoStn A PO Boxes25 The Esplanade,EnclaveofM5E,43.6464352,-79.37484599999999
70,M5X,Downtown Toronto,"FirstCanadianPlace,Undergroundcity",43.6484292,-79.3822802
71,M6A,North York,"LawrenceManor,LawrenceHeights",43.718517999999996,-79.46476329999999
72,M6B,North York,Glencairn,43.709577,-79.44507259999999
73,M6C,York,Humewood-Cedarvale,43.6937813,-79.42819140000002
74,M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512
75,M6G,Downtown Toronto,Christie,43.669542,-79.4225637
76,M6H,West Toronto,"Dufferin,DovercourtVillage",43.66900510000001,-79.4422593
77,M6J,West Toronto,"LittlePortugal,Trinity",43.647926700000006,-79.4197497
78,M6K,West Toronto,"Brockton,ParkdaleVillage,ExhibitionPlace",43.6368472,-79.42819140000002
79,M6L,North York,"NorthPark,MapleLeafPark,UpwoodPark",43.713756200000006,-79.4900738
80,M6M,York,"DelRay,MountDennis,KeelsdaleandSilverthorn",43.6911158,-79.47601329999999
81,M6N,York,"Runnymede,TheJunctionNorth",43.67318529999999,-79.48726190000001
82,M6P,West Toronto,"HighPark,TheJunctionSouth",43.6616083,-79.46476329999999
83,M6R,West Toronto,"Parkdale,Roncesvalles",43.6489597,-79.456325
84,M6S,West Toronto,"Runnymede,Swansea",43.6515706,-79.4844499
85,M7A,Queen's Park / Ontario Provincial Governmen,"M7AQueen'sPark,OntarioProvincialGovernmen",43.6623015,-79.3894938
86,M7R,MississaugaCanada Post Gateway Processing Centre,EnclaveofL4W,43.6369656,-79.61581899999999
87,M7Y,East TorontoBusiness reply mail Processing Centre969 Eastern,EnclaveofM4L,43.6627439,-79.321558
88,M8V,Etobicoke,"NewToronto,MimicoSouth,HumberBayShores",43.6056466,-79.50132070000001
89,M8W,Etobicoke,"Alderwood,LongBranch",43.60241370000001,-79.54348409999999
90,M8X,Etobicoke,"TheKingsway,MontgomeryRoad,OldMillNorth",43.653653600000005,-79.5069436
91,M8Y,Etobicoke,"OldMillSouth,King'sMillPark,Sunnylea,HumberBay,MimicoNE,TheQueenswayEast,RoyalYorkSouthEast,KingswayParkSouthEast",43.6362579,-79.49850909999999
92,M8Z,Etobicoke,"MimicoNW,TheQueenswayWest,SouthofBloor,KingswayParkSouthWest,RoyalYorkSouthWest",43.6288408,-79.52099940000001
93,M9A,Etobicoke,IslingtonAvenue,43.6678556,-79.53224240000002
94,M9B,Etobicoke,"WestDeanePark,PrincessGardens,MartinGrove,Islington,Cloverdale",43.6509432,-79.55472440000001
95,M9C,Etobicoke,"Eringate,BloordaleGardens,OldBurnhamthorpe,MarklandWood",43.6435152,-79.57720079999999
96,M9L,North York,HumberSummit,43.7563033,-79.56596329999999
97,M9M,North York,"Humberlea,Emery",43.7247659,-79.53224240000002
98,M9N,York,Weston,43.706876,-79.51818840000001
99,M9P,Etobicoke,Westmount,43.696319,-79.53224240000002
100,M9R,Etobicoke,"KingsviewVillage,St.Phillips,MartinGroveGardens,RichviewGardens",43.6889054,-79.55472440000001
101,M9V,Etobicoke,"SouthSteeles,Silverstone,Humbergate,Jamestown,MountOlive,BeaumondHeights,Thistletown,AlbionGardens",43.739416399999996,-79.5884369
102,M9W,EtobicokeNorthwest,"Clairville,Humberwood,WoodbineDowns,WestHumber,KiplingHeights,Rexdale,Elms,Tandridge,OldRexdale",43.706748299999994,-79.5940544
